name,address,phone,type,email
"ТОО детский сад ""Nur Kids""","ул. Егинсу, 3","87756939243, 87058671107",детский сад,nur-kids@mail.ru
"ЧУ ясли сад ""НҰР-РАЯН KZ""","ул. Сухамбаева, 23","87019360608, 87272505122",ясли-сад,Nur_raian_kz@mail.ru
"ТОО ""Балабақша Еркемай""","ул. Доспанова, 4/1","87478260989, 87478260989",детский сад,meiramgul-86@mail.ru
"ТОО ""Балабакша АкКанат""","ул. Багаева, 22","87471616561, 87471616561",детский сад,saekeeva1970@mail.ru
"ТОО ""Частное учреждение образования Детский сад ""BoBo""","ул. Акшагыл, 30","87018273333, 87018273333",детский сад,saulebai1010@MAIL.RU
"ТОО ""Эрудит balabaqsha""","ул. Немировича-Данченко, 27","87057229020, 87057229020",детский сад,erudit.sad@mail.ru
"ТОО ""Балдаурен 5""","ул. Акбастау, 81","87071193006, 87071193006",детский сад,aynagul.chaldanbayeva@bk.ru
"ТОО ""Алинұр балабақшасы""","ул. Османова, 81","87077915633, 87077915633",детский сад,alinur_balabakshasy_2024@mail.ru
"ТОО ""Еркетай Үміт 2""","ул. Мамбетова, 79","87757725994, 87757725994",детский сад,rayan30_01@icioud.com
"ТОО ""Хамza""","ул. Арқалық, 19/1","87000888995, 87078088995",детский сад,Ametbaeva_marzhan@mail.ru
"ТОО ""Aitore 2015""","ул. Койшибаевой, 119А","87472225490, 87472225490",детский сад,aitore-2015@mail.ru
"ТОО ""АҚСАУЛЕ 2023""","мкр. Туркестан, 77","87074485570, 87074485570",детский сад,inkar_12@mail.ru
"ТОО детский сад ""KAZYNA-868""","ул. Егинсу, 19","87077101797, 87077101797",детский сад,too_kazyna-868@mail.ru
"ТОО ""Даминосик""","ул. Доспанова, 14","87006815967, 87006815967",детский сад,aizada.omarhan01@gmail.com
"ТОО детский сад ""Білім Мекені""","ул. К. Нурпеисова, 26","87079332937, 87478046822",детский сад,damira.kzz@mail.kz
"ТОО детский сад ""Томирис kindergarten""","ул. Шынкожа батыр, 40","87773005214, 87076846022",детский сад,tomiriskindergarten@gmail.ru
"ТОО детский сад ""Жасмин Kids""","ул. Аруана, 4а","87474790467, 87474790467",детский сад,jasmin_kids@list.ru
"ТОО детский сад ""А-Айкерім""","ул. Байырқұм, 6","87085346739, 87085346739",детский сад,bota_06.94@mail.ru
"ТОО детский сад ""BB DAmir""","ул. Асанова, 7","87479582092, 87479582092",детский сад,damir.bb@bk.ru
"ТОО ""Әміртай""","ул. Азаттық, 67","87024368534, 87024368534",детский сад,ashat_tb@mail.ru
"ТОО детский сад """"АрДос-kids""""","ул. Омирзакова, 45","87473189372, 87473189372",детский сад,ardos-sad@mail.ru
"ТОО детский сад ""УВЦ ""Дара бала""""","ул. Балтабай, 34","87754883828, 87754883828",детский сад,foodmoly@mail.ru
"ТОО детский сад ""DAXX GROUP""","ул. Жиренкөл, 25","87018470188, 87273420102",детский сад,sanya-detsad@mail.ru
"ТОО ""SUN8"" детский сад ""ALUA""","ул. Алматинская, 40","87775900888, 87775900888",детский сад,koibagarova-g@mail.ru
"ТОО ""Детский сад ""Мың бала Алматы""","ул. Казтуган Жырау, 29/1","87076602011, 87079335616",детский сад,mynbala2023@gmail.com
"ТОО детский сад ""Altai Kanas""","улица Еримбетова, 32","87017586981, 87017586981",детский сад,altay.balabakshasy@mail.ru
"ТОО детский сад ""Жанбота Н.С.""","ул. Серікбаев, 2","87079305861, 87079305861",детский сад,bota_1516@mail.ru
"ТОО ""Балдырған әлемі балабақшасы""","ул. Байтерекова, 36","87474178938, 87474178938",детский сад,albina.yerbolovna@gmail.com
"ТОО ""Аруна С"" детский сад ""Tompi kids""","ул. Грановского, 7","87017806480, 87273527080",детский сад,arunacc@mail.ru
"ТОО ""ЗереЖан 2020"", Детский сад ""БалаLand""","ул. Прокофьева, 173","87478142141, 87478142141",детский сад,makpal_mak_1986@mail.ru
"ТОО ""Детский сад Хан""","ул. Розыбакиева, 9","87075533537, 87478844851",детский сад,ail_220222@mail.ru
"ТОО ""Биржан К"" Детский сад «Говорун»","ул. Байзакова, 244","87759933766, 87759933766",детский сад,detsad_govorun@mail.ru
"ТОО ""Доминант групп"" детский сад «Little&big»","ул. Гоголя, 87б","87079882758, 87079882758",детский сад,ligail1968@gmail.com
"ТОО ""ARAI-KA"" , детский сад ARAIkids","ул. Толе би, 171","87789999495, 87789999495",детский сад,Araikids171@inbox.ru
"ТОО ""ЯСЛИ САД ЖАНҰЯ-2022""","ул. Тургут Озала, 151","87078317317, 87078317317",ясли-сад,mur.81@mail.ru
"ТОО детский сад ""Goodvel""",,"87783678888, 87273670017",детский сад,info@goodvel.kz
"АО детский сад ""Бахус""","ул. Карасай Батыра, 175","87017121405, 87273755453",детский сад,nurcolosok@mail.ru
"У-е детский сад при ""Международный колледж непрерывного образования""","ул. Панфилова, 138а","87073634472, 87272799273",детский сад,anjela_g@bk.ru
"ТОО ""AA-SUN"" детский сад ""Айналайын""","ул. Есенжанова, 15","87017761812, 87272682985",детский сад,aa-sun@mail.ru
ТОО детский сад «Семья Baby»,"ул. Клочкова, 28/191","87772304304, 88727317208",детский сад,alena.ustinova.88@list.ru
"ЧУО ""Детский учебно-воспитательный центр ""Дара""","ул. Клочкова, 28/191А","87019532670, 87475813236",детский сад,urist-s@mail.ru
"ТОО ""OlzhaS pluS"" Детский сад ""Ивушка""",,"87012822082, 87272275368",детский сад,dou_ivushka@mail.ru
"ИП детский сад ""Disneyland's Almaty""","пр. Абая, 193","87777770018, 87473214170",детский сад,Natali_7131@mail.ru
"ТОО ""Дошкольный учебно-воспитательный центр ""ДОСТАР""","ул. Досмухамедова, 4/6","87055740504, 87272331429",детский сад,dostar2008@mail.ru
"ТОО ""Детский сад ""Alma Kids""","ул. Жумалиева, 55","87754009469, 87273295530",детский сад,zav.bastau@cmab.kz
"ТОО частный детский сад ""Зайка Весновка""","ул. Кожамкулова, 149","87017370563, 87017370563",детский сад,zaikasadik@bk.ru
"УО детский сад ""Голубой парус""","ул. Панфилова, 52","87017459341, 87272795173",детский сад,bluesail@mail.ru
"ТОО ""Кокжиек Алима Kids"" детский сад ""ИНКАР"" (филиал)","ул. Грановского, 32","87781514746, 87076127758",детский сад,inkar_sadik@mail.ru
"ТОО ""детский сад ""Асыл Мура""","ул. Богенбай батыра, 314а","87078224340, 87273743533",детский сад,asylmura2017@mail.ru
"ТОО детский сад ""Ерке Line""","ул. Муканова, 180","87017238166, 87017238166",детский сад,detsad.yerkeline@mail.ru
"ТОО ""SK education company"" детский сад ""SMART KIDS""","ул. Айтиева, 41","87017999828, 87273759040",детский сад,smart-kids.kz@mail.ru
"ТОО Детский Сад ""Радость Детства""","ул. Розыбакиева, 29а","87071307070, 87272431515",детский сад,detsad.radost2019@mail.ru
"ТОО мини-центр ""УМКА центр""","ул. Казыбек би, 139","87776899527, 87776899527",дошкольный мини-центр,umka_kazbek.bi@mail.ru
"ТОО детский сад ""Ай-бала""","ул. Тлендиева, 215","87753854604, 87272254183",детский сад,nisa_03@mail.ru
"ТОО ""СОВЁНОК"" детский сад ""Арман""","ул. Байзакова, 34","87029227405, 87029227405",детский сад,korkem.14@bk.ru
